date,open,high,low,close,volume,symbol,ret_1d,cum_ret,vol_ann,phase,year,month
2020-01-02 07:00:00,0.96,0.97,0.96,0.97,131523160,VNINDEX,,0.0,,1_COVID_Crash,2020,1
2020-01-03 07:00:00,0.97,0.97,0.97,0.97,149202550,VNINDEX,0.0,0.0,,1_COVID_Crash,2020,1
2020-01-06 07:00:00,0.96,0.96,0.96,0.96,140978550,VNINDEX,-0.010309278350515427,-1.0309278350515427,,1_COVID_Crash,2020,1
2020-01-07 07:00:00,0.96,0.96,0.95,0.96,130272030,VNINDEX,0.0,-1.0309278350515427,,1_COVID_Crash,2020,1
2020-01-08 07:00:00,0.95,0.96,0.95,0.95,179374340,VNINDEX,-0.01041666666666663,-2.0618556701030966,,1_COVID_Crash,2020,1
2020-01-09 07:00:00,0.95,0.96,0.95,0.96,132773820,VNINDEX,0.010526315789473717,-1.0309278350515427,,1_COVID_Crash,2020,1
2020-01-10 07:00:00,0.96,0.97,0.96,0.97,163058830,VNINDEX,0.01041666666666674,0.0,,1_COVID_Crash,2020,1
2020-01-13 07:00:00,0.97,0.97,0.96,0.97,117952020,VNINDEX,0.0,0.0,,1_COVID_Crash,2020,1
2020-01-14 07:00:00,0.97,0.97,0.97,0.97,127784380,VNINDEX,0.0,0.0,,1_COVID_Crash,2020,1
2020-01-15 07:00:00,0.97,0.97,0.96,0.97,112470420,VNINDEX,0.0,0.0,,1_COVID_Crash,2020,1
2020-01-16 07:00:00,0.97,0.97,0.97,0.97,146756870,VNINDEX,0.0,0.0,,1_COVID_Crash,2020,1
2020-01-17 07:00:00,0.98,0.98,0.97,0.98,117216890,VNINDEX,0.010309278350515427,1.0309278350515427,,1_COVID_Crash,2020,1
2020-01-20 07:00:00,0.98,0.98,0.98,0.98,102398830,VNINDEX,0.0,1.0309278350515427,,1_COVID_Crash,2020,1
2020-01-21 07:00:00,0.98,0.99,0.98,0.99,128887950,VNINDEX,0.010204081632652962,2.0618556701030855,,1_COVID_Crash,2020,1
2020-01-22 07:00:00,0.99,0.99,0.98,0.99,128966880,VNINDEX,0.0,2.0618556701030855,,1_COVID_Crash,2020,1
2020-01-30 07:00:00,0.98,0.98,0.95,0.96,181385230,VNINDEX,-0.030303030303030276,-1.0309278350515427,,1_COVID_Crash,2020,1
2020-01-31 07:00:00,0.96,0.96,0.94,0.94,210630210,VNINDEX,-0.02083333333333337,-3.0927835051546393,,1_COVID_Crash,2020,1
2020-02-03 07:00:00,0.92,0.93,0.89,0.93,246408370,VNINDEX,-0.010638297872340274,-4.123711340206182,,1_COVID_Crash,2020,2
2020-02-04 07:00:00,0.93,0.93,0.92,0.93,178000400,VNINDEX,0.0,-4.123711340206182,,1_COVID_Crash,2020,2
2020-02-05 07:00:00,0.93,0.94,0.92,0.93,163682070,VNINDEX,0.0,-4.123711340206182,,1_COVID_Crash,2020,2
2020-02-06 07:00:00,0.93,0.94,0.93,0.94,206129040,VNINDEX,0.010752688172043001,-3.0927835051546393,17.002928606054788,1_COVID_Crash,2020,2
2020-02-07 07:00:00,0.94,0.94,0.94,0.94,165020480,VNINDEX,0.0,-3.0927835051546393,17.002928606054788,1_COVID_Crash,2020,2
2020-02-10 07:00:00,0.93,0.94,0.93,0.93,129573270,VNINDEX,-0.010638297872340274,-4.123711340206182,17.02588599827715,1_COVID_Crash,2020,2
2020-02-11 07:00:00,0.93,0.94,0.93,0.93,159265510,VNINDEX,0.0,-4.123711340206182,17.02588599827715,1_COVID_Crash,2020,2
2020-02-12 07:00:00,0.94,0.94,0.94,0.94,187439280,VNINDEX,0.010752688172043001,-3.0927835051546393,17.217717174458336,1_COVID_Crash,2020,2
2020-02-13 07:00:00,0.94,0.94,0.93,0.94,153479610,VNINDEX,0.0,-3.0927835051546393,16.724217634845225,1_COVID_Crash,2020,2
2020-02-14 07:00:00,0.94,0.94,0.94,0.94,172195600,VNINDEX,0.0,-3.0927835051546393,16.18111178591861,1_COVID_Crash,2020,2
2020-02-17 07:00:00,0.94,0.94,0.93,0.93,149349950,VNINDEX,-0.010638297872340274,-4.123711340206182,16.48634823490934,1_COVID_Crash,2020,2
2020-02-18 07:00:00,0.93,0.93,0.93,0.93,164327840,VNINDEX,0.0,-4.123711340206182,16.48634823490934,1_COVID_Crash,2020,2
2020-02-19 07:00:00,0.93,0.93,0.93,0.93,161801070,VNINDEX,0.0,-4.123711340206182,16.48634823490934,1_COVID_Crash,2020,2
2020-02-20 07:00:00,0.93,0.94,0.93,0.94,183636850,VNINDEX,0.010752688172043001,-3.0927835051546393,17.09443397401456,1_COVID_Crash,2020,2
2020-02-21 07:00:00,0.94,0.94,0.93,0.93,179503790,VNINDEX,-0.010638297872340274,-4.123711340206182,16.787232394605635,1_COVID_Crash,2020,2
2020-02-24 07:00:00,0.92,0.92,0.9,0.9,255965410,VNINDEX,-0.032258064516129115,-7.216494845360821,19.773903648755482,1_COVID_Crash,2020,2
2020-02-25 07:00:00,0.89,0.91,0.89,0.91,186008510,VNINDEX,0.011111111111111072,-6.185567010309267,19.863795708036626,1_COVID_Crash,2020,2
2020-02-26 07:00:00,0.9,0.9,0.89,0.9,131173700,VNINDEX,-0.01098901098901095,-7.216494845360821,19.943675914284146,1_COVID_Crash,2020,2
2020-02-27 07:00:00,0.89,0.9,0.89,0.9,135468580,VNINDEX,0.0,-7.216494845360821,17.534953086736614,1_COVID_Crash,2020,2
2020-02-28 07:00:00,0.89,0.89,0.87,0.88,184315860,VNINDEX,-0.022222222222222254,-9.278350515463918,17.726468249738424,1_COVID_Crash,2020,2
2020-03-02 07:00:00,0.88,0.89,0.88,0.88,173927240,VNINDEX,0.0,-9.278350515463918,17.538221407031312,1_COVID_Crash,2020,3
2020-03-03 07:00:00,0.9,0.9,0.89,0.89,176373200,VNINDEX,0.011363636363636465,-8.247422680412363,18.220891591641166,1_COVID_Crash,2020,3
2020-03-04 07:00:00,0.89,0.89,0.88,0.89,195439390,VNINDEX,0.0,-8.247422680412363,18.220891591641166,1_COVID_Crash,2020,3
2020-03-05 07:00:00,0.89,0.9,0.89,0.89,209158850,VNINDEX,0.0,-8.247422680412363,17.60160596203752,1_COVID_Crash,2020,3
2020-03-06 07:00:00,0.89,0.89,0.88,0.89,175600680,VNINDEX,0.0,-8.247422680412363,17.60160596203752,1_COVID_Crash,2020,3
2020-03-09 07:00:00,0.88,0.88,0.83,0.84,273180820,VNINDEX,-0.0561797752808989,-13.4020618556701,25.834128675052813,1_COVID_Crash,2020,3
2020-03-10 07:00:00,0.81,0.84,0.81,0.84,242825240,VNINDEX,0.0,-13.4020618556701,25.834128675052813,1_COVID_Crash,2020,3
2020-03-11 07:00:00,0.84,0.84,0.79,0.81,278303370,VNINDEX,-0.03571428571428559,-16.49484536082474,27.311928552429066,1_COVID_Crash,2020,3
2020-03-12 07:00:00,0.78,0.78,0.76,0.77,311344630,VNINDEX,-0.04938271604938271,-20.618556701030922,30.95110218473324,1_COVID_Crash,2020,3
2020-03-13 07:00:00,0.75,0.76,0.72,0.76,289011560,VNINDEX,-0.012987012987012991,-21.649484536082475,30.75173094394943,1_COVID_Crash,2020,3
2020-03-16 07:00:00,0.76,0.76,0.74,0.75,222784370,VNINDEX,-0.013157894736842146,-22.680412371134018,30.767440503359193,1_COVID_Crash,2020,3
2020-03-17 07:00:00,0.72,0.75,0.72,0.75,202420360,VNINDEX,0.0,-22.680412371134018,30.767440503359193,1_COVID_Crash,2020,3
2020-03-18 07:00:00,0.75,0.75,0.74,0.75,205460100,VNINDEX,0.0,-22.680412371134018,30.767440503359193,1_COVID_Crash,2020,3
2020-03-19 07:00:00,0.73,0.73,0.71,0.73,308921920,VNINDEX,-0.026666666666666727,-24.742268041237114,30.198644588748635,1_COVID_Crash,2020,3
2020-03-20 07:00:00,0.73,0.73,0.71,0.71,197474500,VNINDEX,-0.0273972602739726,-26.80412371134021,30.652522119672938,1_COVID_Crash,2020,3
2020-03-23 07:00:00,0.69,0.69,0.66,0.67,223310850,VNINDEX,-0.05633802816901401,-30.92783505154638,33.67815451066541,1_COVID_Crash,2020,3
2020-03-24 07:00:00,0.66,0.67,0.65,0.66,212661260,VNINDEX,-0.014925373134328401,-31.958762886597935,32.29933246813968,1_COVID_Crash,2020,3
2020-03-25 07:00:00,0.67,0.69,0.67,0.69,209923920,VNINDEX,0.045454545454545414,-28.865979381443307,38.931331380366835,2_COVID_Recovery,2020,3
2020-03-26 07:00:00,0.69,0.7,0.68,0.69,171216480,VNINDEX,0.0,-28.865979381443307,38.931331380366835,2_COVID_Recovery,2020,3
2020-03-27 07:00:00,0.69,0.7,0.68,0.7,212339560,VNINDEX,0.01449275362318847,-27.835051546391753,39.93468950812641,2_COVID_Recovery,2020,3
2020-03-30 07:00:00,0.66,0.67,0.66,0.66,194282800,VNINDEX,-0.05714285714285705,-31.958762886597935,42.87634830546453,2_COVID_Recovery,2020,3
2020-03-31 07:00:00,0.67,0.68,0.65,0.66,227893260,VNINDEX,0.0,-31.958762886597935,42.17120822318336,2_COVID_Recovery,2020,3
2020-04-01 07:00:00,0.66,0.68,0.66,0.68,203313080,VNINDEX,0.030303030303030276,-29.89690721649484,44.84022779393884,2_COVID_Recovery,2020,4
2020-04-03 07:00:00,0.69,0.7,0.69,0.7,197918250,VNINDEX,0.02941176470588225,-27.835051546391753,47.12671094634283,2_COVID_Recovery,2020,4
2020-04-06 07:00:00,0.72,0.74,0.72,0.74,304964360,VNINDEX,0.05714285714285716,-23.71134020618556,52.979669606325984,2_COVID_Recovery,2020,4
2020-04-07 07:00:00,0.74,0.75,0.73,0.75,276556810,VNINDEX,0.013513513513513598,-22.680412371134018,50.400806605442924,2_COVID_Recovery,2020,4
2020-04-08 07:00:00,0.74,0.75,0.73,0.75,203416250,VNINDEX,0.0,-22.680412371134018,50.400806605442924,2_COVID_Recovery,2020,4
2020-04-09 07:00:00,0.75,0.77,0.75,0.76,271131720,VNINDEX,0.01333333333333342,-21.649484536082475,49.456589200466006,2_COVID_Recovery,2020,4
2020-04-10 07:00:00,0.76,0.76,0.75,0.76,295263430,VNINDEX,0.0,-21.649484536082475,46.28104142377742,2_COVID_Recovery,2020,4
2020-04-13 07:00:00,0.76,0.77,0.76,0.77,200195470,VNINDEX,0.013157894736842035,-20.618556701030922,46.25705769995811,2_COVID_Recovery,2020,4
2020-04-14 07:00:00,0.77,0.77,0.75,0.77,229143390,VNINDEX,0.0,-20.618556701030922,45.955502558465525,2_COVID_Recovery,2020,4
2020-04-15 07:00:00,0.77,0.78,0.77,0.78,255468260,VNINDEX,0.012987012987013102,-19.58762886597938,46.12206361514885,2_COVID_Recovery,2020,4
2020-04-16 07:00:00,0.77,0.78,0.77,0.78,217009350,VNINDEX,0.0,-19.58762886597938,46.12206361514885,2_COVID_Recovery,2020,4
2020-04-17 07:00:00,0.79,0.79,0.78,0.79,268469130,VNINDEX,0.012820512820512775,-18.556701030927826,44.93999056358948,2_COVID_Recovery,2020,4
2020-04-20 07:00:00,0.8,0.8,0.79,0.79,304592700,VNINDEX,0.0,-18.556701030927826,43.3995920851045,2_COVID_Recovery,2020,4
2020-04-21 07:00:00,0.78,0.79,0.76,0.77,368523950,VNINDEX,-0.025316455696202556,-20.618556701030922,38.654739311280444,2_COVID_Recovery,2020,4
2020-04-22 07:00:00,0.75,0.77,0.75,0.77,223471930,VNINDEX,0.0,-20.618556701030922,37.873681990671884,2_COVID_Recovery,2020,4
2020-04-23 07:00:00,0.78,0.79,0.77,0.77,189393000,VNINDEX,0.0,-20.618556701030922,35.25955923090841,2_COVID_Recovery,2020,4
2020-04-24 07:00:00,0.78,0.78,0.77,0.78,226072090,VNINDEX,0.012987012987013102,-19.58762886597938,35.280738035697325,2_COVID_Recovery,2020,4
2020-04-27 07:00:00,0.78,0.79,0.77,0.77,256843490,VNINDEX,-0.012820512820512886,-20.618556701030922,35.776843007720245,2_COVID_Recovery,2020,4
